,CountryCode,measure_value,Country,Year,Indicator_category,Indicator,unit_of_measure,Source
0,AFG,2,Afghanistan,2020,Country,Civicus score,Number,Civicus monitor
1,ALB,4,Albania,2020,Country,Civicus score,Number,Civicus monitor
2,DZA,2,Algeria,2020,Country,Civicus score,Number,Civicus monitor
3,AND,5,Andorra,2020,Country,Civicus score,Number,Civicus monitor
4,AGO,2,Angola,2020,Country,Civicus score,Number,Civicus monitor
5,ATG,5,Antigua and Barbuda,2020,Country,Civicus score,Number,Civicus monitor
6,ARG,4,Argentina,2020,Country,Civicus score,Number,Civicus monitor
7,ARM,3,Armenia,2020,Country,Civicus score,Number,Civicus monitor
8,AUS,4,Australia,2020,Country,Civicus score,Number,Civicus monitor
9,AUT,6,Austria,2020,Country,Civicus score,Number,Civicus monitor
10,AZE,1,Azerbaijan,2020,Country,Civicus score,Number,Civicus monitor
11,BHS,4,Bahamas,2020,Country,Civicus score,Number,Civicus monitor
12,BHR,1,Bahrain,2020,Country,Civicus score,Number,Civicus monitor
13,BGD,2,Bangladesh,2020,Country,Civicus score,Number,Civicus monitor
14,BRB,5,Barbados,2020,Country,Civicus score,Number,Civicus monitor
15,BLR,2,Belarus,2020,Country,Civicus score,Number,Civicus monitor
16,BEL,5,Belgium,2020,Country,Civicus score,Number,Civicus monitor
17,BLZ,4,Belize,2020,Country,Civicus score,Number,Civicus monitor
18,BEN,3,Benin,2020,Country,Civicus score,Number,Civicus monitor
19,BTN,3,Bhutan,2020,Country,Civicus score,Number,Civicus monitor
20,BOL,3,"Bolivia, Plurinational State of",2020,Country,Civicus score,Number,Civicus monitor
21,BIH,4,Bosnia and Herzegovina,2020,Country,Civicus score,Number,Civicus monitor
22,BWA,4,Botswana,2020,Country,Civicus score,Number,Civicus monitor
23,BRA,3,Brazil,2020,Country,Civicus score,Number,Civicus monitor
24,BRN,2,Brunei Darussalam,2020,Country,Civicus score,Number,Civicus monitor
25,BGR,4,Bulgaria,2020,Country,Civicus score,Number,Civicus monitor
26,BFA,3,Burkina Faso,2020,Country,Civicus score,Number,Civicus monitor
27,BDI,1,Burundi,2020,Country,Civicus score,Number,Civicus monitor
28,KHM,2,Cambodia,2020,Country,Civicus score,Number,Civicus monitor
29,CMR,2,Cameroon,2020,Country,Civicus score,Number,Civicus monitor
30,CAN,5,Canada,2020,Country,Civicus score,Number,Civicus monitor
31,CPV,5,Cabo Verde,2020,Country,Civicus score,Number,Civicus monitor
32,CAF,1,Central African Republic,2020,Country,Civicus score,Number,Civicus monitor
33,TCD,2,Chad,2020,Country,Civicus score,Number,Civicus monitor
34,CHL,4,Chile,2020,Country,Civicus score,Number,Civicus monitor
35,CHN,1,China,2020,Country,Civicus score,Number,Civicus monitor
36,COL,2,Colombia,2020,Country,Civicus score,Number,Civicus monitor
37,COM,3,Comoros,2020,Country,Civicus score,Number,Civicus monitor
38,CRI,5,Costa Rica,2020,Country,Civicus score,Number,Civicus monitor
39,CIV,3,C̫te d'Ivoire,2020,Country,Civicus score,Number,Civicus monitor
40,HRV,4,Croatia,2020,Country,Civicus score,Number,Civicus monitor
41,CUB,1,Cuba,2020,Country,Civicus score,Number,Civicus monitor
42,CYP,5,Cyprus,2020,Country,Civicus score,Number,Civicus monitor
43,CZE,5,Czechia,2020,Country,Civicus score,Number,Civicus monitor
44,COD,1,"Congo, The Democratic Republic of the",2020,Country,Civicus score,Number,Civicus monitor
45,DNK,5,Denmark,2020,Country,Civicus score,Number,Civicus monitor
46,DJI,1,Djibouti,2020,Country,Civicus score,Number,Civicus monitor
47,DMA,5,Dominica,2020,Country,Civicus score,Number,Civicus monitor
48,DOM,4,Dominican Republic,2020,Country,Civicus score,Number,Civicus monitor
49,ECU,4,Ecuador,2020,Country,Civicus score,Number,Civicus monitor
50,EGY,1,Egypt,2020,Country,Civicus score,Number,Civicus monitor
51,SLV,3,El Salvador,2020,Country,Civicus score,Number,Civicus monitor
52,GNQ,1,Equatorial Guinea,2020,Country,Civicus score,Number,Civicus monitor
53,ERI,1,Eritrea,2020,Country,Civicus score,Number,Civicus monitor
54,EST,5,Estonia,2020,Country,Civicus score,Number,Civicus monitor
55,ETH,2,Ethiopia,2020,Country,Civicus score,Number,Civicus monitor
56,FJI,3,Fiji,2020,Country,Civicus score,Number,Civicus monitor
57,FIN,5,Finland,2020,Country,Civicus score,Number,Civicus monitor
58,FRA,4,France,2020,Country,Civicus score,Number,Civicus monitor
59,GAB,2,Gabon,2020,Country,Civicus score,Number,Civicus monitor
60,GMB,3,Gambia,2020,Country,Civicus score,Number,Civicus monitor
61,GEO,4,Georgia,2020,Country,Civicus score,Number,Civicus monitor
62,DEU,5,Germany,2020,Country,Civicus score,Number,Civicus monitor
63,GHA,4,Ghana,2020,Country,Civicus score,Number,Civicus monitor
64,GRC,4,Greece,2020,Country,Civicus score,Number,Civicus monitor
65,GRL,None,Greenland,2020,Country,Civicus score,Number,Civicus monitor
66,GRD,5,Grenada,2020,Country,Civicus score,Number,Civicus monitor
67,GTM,3,Guatemala,2020,Country,Civicus score,Number,Civicus monitor
68,GIN,3,Guinea,2020,Country,Civicus score,Number,Civicus monitor
69,GNB,3,Guinea-Bissau,2020,Country,Civicus score,Number,Civicus monitor
70,GUY,4,Guyana,2020,Country,Civicus score,Number,Civicus monitor
71,HTI,3,Haiti,2020,Country,Civicus score,Number,Civicus monitor
72,HND,2,Honduras,2020,Country,Civicus score,Number,Civicus monitor
73,HUN,3,Hungary,2020,Country,Civicus score,Number,Civicus monitor
74,ISL,5,Iceland,2020,Country,Civicus score,Number,Civicus monitor
75,IND,2,India,2020,Country,Civicus score,Number,Civicus monitor
76,IDN,3,Indonesia,2020,Country,Civicus score,Number,Civicus monitor
77,IRN,1,"Iran, Islamic Republic of",2020,Country,Civicus score,Number,Civicus monitor
78,IRQ,2,Iraq,2020,Country,Civicus score,Number,Civicus monitor
79,IRL,5,Ireland,2020,Country,Civicus score,Number,Civicus monitor
80,ISR,3,Israel,2020,Country,Civicus score,Number,Civicus monitor
81,ITA,4,Italy,2020,Country,Civicus score,Number,Civicus monitor
82,JAM,4,Jamaica,2020,Country,Civicus score,Number,Civicus monitor
83,JPN,4,Japan,2020,Country,Civicus score,Number,Civicus monitor
84,JOR,3,Jordan,2020,Country,Civicus score,Number,Civicus monitor
85,KAZ,3,Kazakhstan,2020,Country,Civicus score,Number,Civicus monitor
86,KEN,3,Kenya,2020,Country,Civicus score,Number,Civicus monitor
87,KIR,5,Kiribati,2020,Country,Civicus score,Number,Civicus monitor
88,KWT,2,Kuwait,2020,Country,Civicus score,Number,Civicus monitor
89,KGZ,3,Kyrgyzstan,2020,Country,Civicus score,Number,Civicus monitor
90,LAO,1,Lao People's Democratic Republic,2020,Country,Civicus score,Number,Civicus monitor
91,LVA,4,Latvia,2020,Country,Civicus score,Number,Civicus monitor
92,LBN,3,Lebanon,2020,Country,Civicus score,Number,Civicus monitor
93,LSO,3,Lesotho,2020,Country,Civicus score,Number,Civicus monitor
94,LBR,3,Liberia,2020,Country,Civicus score,Number,Civicus monitor
95,LBY,1,Libya,2020,Country,Civicus score,Number,Civicus monitor
96,LIE,5,Liechtenstein,2020,Country,Civicus score,Number,Civicus monitor
97,LTU,5,Lithuania,2020,Country,Civicus score,Number,Civicus monitor
98,LUX,5,Luxembourg,2020,Country,Civicus score,Number,Civicus monitor
99,MKD,4,North Macedonia,2020,Country,Civicus score,Number,Civicus monitor
100,MDG,2,Madagascar,2020,Country,Civicus score,Number,Civicus monitor
101,MWI,3,Malawi,2020,Country,Civicus score,Number,Civicus monitor
102,MYS,3,Malaysia,2020,Country,Civicus score,Number,Civicus monitor
103,MDV,3,Maldives,2020,Country,Civicus score,Number,Civicus monitor
104,MLI,3,Mali,2020,Country,Civicus score,Number,Civicus monitor
105,MLT,4,Malta,2020,Country,Civicus score,Number,Civicus monitor
106,MHL,5,Marshall Islands,2020,Country,Civicus score,Number,Civicus monitor
107,MRT,2,Mauritania,2020,Country,Civicus score,Number,Civicus monitor
108,MUS,4,Mauritius,2020,Country,Civicus score,Number,Civicus monitor
109,MEX,2,Mexico,2020,Country,Civicus score,Number,Civicus monitor
110,FSM,5,"Micronesia, Federated States of",2020,Country,Civicus score,Number,Civicus monitor
111,MDA,4,"Moldova, Republic of",2020,Country,Civicus score,Number,Civicus monitor
112,MCO,5,Monaco,2020,Country,Civicus score,Number,Civicus monitor
113,MNG,3,Mongolia,2020,Country,Civicus score,Number,Civicus monitor
114,MNE,4,Montenegro,2020,Country,Civicus score,Number,Civicus monitor
115,MAR,3,Morocco,2020,Country,Civicus score,Number,Civicus monitor
116,MOZ,3,Mozambique,2020,Country,Civicus score,Number,Civicus monitor
117,MMR,2,Myanmar,2020,Country,Civicus score,Number,Civicus monitor
118,NAM,4,Namibia,2020,Country,Civicus score,Number,Civicus monitor
119,NRU,3,Nauru,2020,Country,Civicus score,Number,Civicus monitor
120,NPL,3,Nepal,2020,Country,Civicus score,Number,Civicus monitor
121,NLD,5,Netherlands,2020,Country,Civicus score,Number,Civicus monitor
122,NZL,5,New Zealand,2020,Country,Civicus score,Number,Civicus monitor
123,NIC,2,Nicaragua,2020,Country,Civicus score,Number,Civicus monitor
124,NER,3,Niger,2020,Country,Civicus score,Number,Civicus monitor
125,NGA,2,Nigeria,2020,Country,Civicus score,Number,Civicus monitor
126,PRK,1,"Korea, Democratic People's Republic of",2020,Country,Civicus score,Number,Civicus monitor
127,NOR,5,Norway,2020,Country,Civicus score,Number,Civicus monitor
128,OMN,2,Oman,2020,Country,Civicus score,Number,Civicus monitor
129,PAK,2,Pakistan,2020,Country,Civicus score,Number,Civicus monitor
130,PLW,5,Palau,2020,Country,Civicus score,Number,Civicus monitor
131,PSE,2,"Palestine, State of",2020,Country,Civicus score,Number,Civicus monitor
132,PAN,4,Panama,2020,Country,Civicus score,Number,Civicus monitor
133,PNG,3,Papua New Guinea,2020,Country,Civicus score,Number,Civicus monitor
134,PRY,3,Paraguay,2020,Country,Civicus score,Number,Civicus monitor
135,PER,3,Peru,2020,Country,Civicus score,Number,Civicus monitor
136,PHL,3,Philippines,2020,Country,Civicus score,Number,Civicus monitor
137,POL,4,Poland,2020,Country,Civicus score,Number,Civicus monitor
138,PRT,5,Portugal,2020,Country,Civicus score,Number,Civicus monitor
139,QAT,2,Qatar,2020,Country,Civicus score,Number,Civicus monitor
140,COG,2,Congo,2020,Country,Civicus score,Number,Civicus monitor
141,ROU,4,Romania,2020,Country,Civicus score,Number,Civicus monitor
142,RUS,2,Russian Federation,2020,Country,Civicus score,Number,Civicus monitor
143,RWA,2,Rwanda,2020,Country,Civicus score,Number,Civicus monitor
144,LCA,5,Saint Lucia,2020,Country,Civicus score,Number,Civicus monitor
145,WSM,5,Samoa,2020,Country,Civicus score,Number,Civicus monitor
146,SMR,5,San Marino,2020,Country,Civicus score,Number,Civicus monitor
147,STP,5,Sao Tome and Principe,2020,Country,Civicus score,Number,Civicus monitor
148,SAU,1,Saudi Arabia,2020,Country,Civicus score,Number,Civicus monitor
149,SEN,3,Senegal,2020,Country,Civicus score,Number,Civicus monitor
150,SRB,3,Serbia,2020,Country,Civicus score,Number,Civicus monitor
151,SYC,4,Seychelles,2020,Country,Civicus score,Number,Civicus monitor
152,SLE,3,Sierra Leone,2020,Country,Civicus score,Number,Civicus monitor
153,SGP,3,Singapore,2020,Country,Civicus score,Number,Civicus monitor
154,SVK,4,Slovakia,2020,Country,Civicus score,Number,Civicus monitor
155,SVN,5,Slovenia,2020,Country,Civicus score,Number,Civicus monitor
156,SLB,5,Solomon Islands,2020,Country,Civicus score,Number,Civicus monitor
157,SOM,2,Somalia,2020,Country,Civicus score,Number,Civicus monitor
158,ZAF,4,South Africa,2020,Country,Civicus score,Number,Civicus monitor
159,KOR,4,"Korea, Republic of",2020,Country,Civicus score,Number,Civicus monitor
160,SSD,1,South Sudan,2020,Country,Civicus score,Number,Civicus monitor
161,ESP,4,Spain,2020,Country,Civicus score,Number,Civicus monitor
162,LKA,3,Sri Lanka,2020,Country,Civicus score,Number,Civicus monitor
163,KNA,5,Saint Kitts and Nevis,2020,Country,Civicus score,Number,Civicus monitor
164,VCT,5,Saint Vincent and the Grenadines,2020,Country,Civicus score,Number,Civicus monitor
165,SDN,1,Sudan,2020,Country,Civicus score,Number,Civicus monitor
166,SUR,5,Suriname,2020,Country,Civicus score,Number,Civicus monitor
167,SWZ,2,Eswatini,2020,Country,Civicus score,Number,Civicus monitor
168,SWE,5,Sweden,2020,Country,Civicus score,Number,Civicus monitor
169,CHE,5,Switzerland,2020,Country,Civicus score,Number,Civicus monitor
170,SYR,1,Syrian Arab Republic,2020,Country,Civicus score,Number,Civicus monitor
171,TWN,5,"Taiwan, Province of China",2020,Country,Civicus score,Number,Civicus monitor
172,TJK,2,Tajikistan,2020,Country,Civicus score,Number,Civicus monitor
173,TZA,2,"Tanzania, United Republic of",2020,Country,Civicus score,Number,Civicus monitor
174,THA,2,Thailand,2020,Country,Civicus score,Number,Civicus monitor
175,TLS,3,Timor-Leste,2020,Country,Civicus score,Number,Civicus monitor
176,TGO,3,Togo,2020,Country,Civicus score,Number,Civicus monitor
177,TON,4,Tonga,2020,Country,Civicus score,Number,Civicus monitor
178,TTO,4,Trinidad and Tobago,2020,Country,Civicus score,Number,Civicus monitor
179,TUN,3,Tunisia,2020,Country,Civicus score,Number,Civicus monitor
180,TUR,2,Turkey,2020,Country,Civicus score,Number,Civicus monitor
181,TKM,1,Turkmenistan,2020,Country,Civicus score,Number,Civicus monitor
182,TUV,5,Tuvalu,2020,Country,Civicus score,Number,Civicus monitor
183,UGA,2,Uganda,2020,Country,Civicus score,Number,Civicus monitor
184,UKR,3,Ukraine,2020,Country,Civicus score,Number,Civicus monitor
185,ARE,1,United Arab Emirates,2020,Country,Civicus score,Number,Civicus monitor
186,GBR,4,United Kingdom,2020,Country,Civicus score,Number,Civicus monitor
187,USA,4,United States,2020,Country,Civicus score,Number,Civicus monitor
188,URY,5,Uruguay,2020,Country,Civicus score,Number,Civicus monitor
189,UZB,1,Uzbekistan,2020,Country,Civicus score,Number,Civicus monitor
190,VUT,4,Vanuatu,2020,Country,Civicus score,Number,Civicus monitor
191,VEN,2,"Venezuela, Bolivarian Republic of",2020,Country,Civicus score,Number,Civicus monitor
192,VNM,1,Viet Nam,2020,Country,Civicus score,Number,Civicus monitor
193,YEM,1,Yemen,2020,Country,Civicus score,Number,Civicus monitor
194,ZMB,3,Zambia,2020,Country,Civicus score,Number,Civicus monitor
195,ZWE,2,Zimbabwe,2020,Country,Civicus score,Number,Civicus monitor
