Country,2019
Afghanistan,16 057
Albania,292 000
Angola,19 782 000
Argentina,35 227 728
Armenia,0
Azerbaijan,31 250
Bhutan,1 500 000
Botswana,40 986 400
Brazil,468 256 398
Burkina Faso,23 008 855
Central African Republic,6 026 746
Chile,15 569 856
Colombia,7 547 420
Comoros,930 007
Congo,385 344
Costa Rica,2 843 629
Djibouti,156 184
Dominica,33 538
El Salvador,3 995 212
Eritrea,511 365
Ethiopia,67 308 407
Gambia,240 980
Guatemala,4 907 777
Honduras,27 669 600
Iran (Islamic Republic of),139 732
Kazakhstan,12 535 595
Kenya,104 614 382
Kyrgyzstan,242 388
Lao People's Democratic Republic,1 166 400
Lebanon,25 000
Lesotho,4 018 032
Madagascar,1 172 421
Malawi,141 794 024
Mauritania,117 000
Mauritius,714 065
Mongolia,289 407
Morocco,13 114 174
Myanmar,16 413 911
Nicaragua,7 533 074
Panama,363 968
Paraguay,604 064
Peru,53 055 810
Republic of Moldova,637 346
Samoa,181 872
Senegal,8 302 551
Seychelles,442 404
Sierra Leone,3 529 399
South Africa,635 981 213
South Sudan,10 800 000
Sri Lanka,428 857
Suriname,231 852
Tajikistan,5 499 475
Tunisia,1 200 000
Uganda,47 040 000
United Republic of Tanzania,32 664 445
Venezuela (Bolivarian Republic of),488 337
Zambia,19 392 644
Zimbabwe,79 674 081