Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper
Ethiopia,,,,,,,,,,,,,,,,1.1 ,0.7 , 1.7,1.0 ,0.7 , 1.5,7.6 ,5.3 , 11.8,10.1 ,7.0 , 15.8,13.4 ,9.3 , 20.9,11.6 ,8.1 , 18.2,6.7 ,5.0 , 9.4,26.0 ,18.1 , 40.6,29.9 ,20.6 , 47.0,17.4 ,12.0 , 27.4,43.1 ,32.7 , 59.4,50.2 ,36.9 , 72.3,54.2 ,39.9 , 77.9
Fiji,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,<0.1 ,<0.1 , Nil,,145.2 , Nil,,,,,,,,,,204.6 ,151.5 , 291.7,53.7 ,42.1 , 71.0,58.5 ,45.0 , 79.1,33.9 ,26.7 , 44.5,76.1 ,59.0 , 101.8,72.0 ,56.6 , 94.8,,,,78.1 ,54.7 , 120.6
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5 ,36.1 , 79.6,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,11.5 ,7.3 , 21.0,15.4 ,9.6 , 28.6,19.0 ,11.4 , 37.7,,,,46.3 ,35.0 , 64.3,51.5 ,40.3 , 68.2,51.4 ,35.8 , 80.0,39.7 ,28.2 , 59.9,16.5 ,12.1 , 23.9,25.7 ,17.6 , 41.1
Gambia,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,5.1 ,3.6 , 8.0,2.6 ,1.8 , 4.1,11.2 ,8.7 , 15.0,7.4 ,5.7 , 10.1,18.5 ,12.9 , 28.8,,,,28.5 ,22.2 , 38.1,22.5 ,17.2 , 30.7,31.0 ,24.6 , 40.3,31.1 ,24.1 , 41.7,33.8 ,26.3 , 45.0,34.3 ,26.6 , 45.8
Georgia,,,,,,,,,,<0.1 ,<0.1 , <0.1,5.1 ,3.6 , 8.1,8.2 ,5.7 , 12.9,6.3 ,4.3 , 9.9,15.9 ,11.0 , 25.1,13.9 ,10.6 , 19.0,15.7 ,14.2 , 17.5,25.0 ,21.3 , 29.8,37.1 ,32.0 , 43.5,36.8 ,29.9 , 46.5,52.1 ,39.9 , 71.1,60.1 ,46.9 , 79.9,61.7 ,50.4 , 77.4,72.7 ,61.2 , 87.8,110.1 ,92.3 , 133.6
Germany,,,,,,,,,,23.7 ,15.1 , 42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,5.6 ,3.2 , 12.0,<0.1 ,<0.1 , <0.1,1.9 ,1.1 , 4.0,1.5 ,0.9 , 3.2,4.1 ,2.4 , 8.7,5.3 ,3.1 , 11.1,6.4 ,3.7 , 13.5,4.3 ,2.5 , 9.0,7.5 ,4.4 , 15.7,9.7 ,5.6 , 20.5,9.6 ,5.6 , 20.5,10.6 ,6.1 , 22.5,10.1 ,5.9 , 21.5,12.1 ,7.0 , 25.6,15.4 ,9.0 , 32.6
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0 ,62.8 , 174.1,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,151.2 , Nil,87.0 ,75.1 , Nil,<0.1 ,<0.1 , Nil,,,,,,,,,,,,,87.0 ,60.9 , 134.4,,,,87.0 ,60.9 , 134.4
Guatemala,,,,,,,,,,22.0 ,17.0 , 29.6,97.8 ,75.6 , 131.5,126.5 ,97.8 , 170.2,,,,10.3 ,8.0 , 13.9,49.2 ,38.0 , 66.1,50.4 ,39.3 , 67.0,48.3 ,37.7 , 64.3,19.7 ,15.3 , 26.2,33.4 ,26.2 , 43.9,63.6 ,49.8 , 84.1,70.7 ,55.5 , 93.2,52.6 ,41.4 , 68.9,68.4 ,47.9 , 105.7,56.3 ,44.3 , 73.9
Guinea,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,,,,4.0 ,2.7 , 6.5,1.3 ,0.9 , 2.2,2.4 ,1.6 , 3.9,12.5 ,8.6 , 20.1,15.8 ,10.9 , 25.1,18.4 ,12.6 , 29.1,31.7 ,21.9 , 49.9,27.1 ,18.6 , 43.1,31.0 ,21.4 , 48.8,33.4 ,23.1 , 52.6,45.6 ,31.6 , 71.6
Guinea-Bissau,,,,,,,,,,,,,,,,1.6 ,1.1 , 2.6,2.0 ,1.4 , 3.2,1.7 ,1.2 , 2.8,,,,,,,,,,<0.1 ,<0.1 , <0.1,1.6 ,1.1 , 2.5,3.9 ,2.7 , 6.3,6.3 ,4.3 , 10.1,9.4 ,6.4 , 15.1,11.4 ,7.8 , 18.2,10.6 ,7.2 , 16.9
Guyana,,,,,,,,,,24.9 ,19.3 , 33.2,,,,,,,13.4 ,10.5 , 17.5,29.2 ,23.0 , 38.2,32.7 ,25.6 , 43.2,41.1 ,32.2 , 54.3,53.2 ,41.7 , 70.1,68.1 ,53.7 , 89.3,66.3 ,52.1 , 87.2,44.9 ,35.3 , 59.0,58.6 ,46.1 , 77.0,51.2 ,40.0 , 67.8,62.0 ,43.4 , 95.9,59.9 ,46.8 , 79.2
Haiti,,,,,,,,,,,,,,,,,,,,,,4.2 ,2.9 , 6.8,3.7 ,2.5 , 5.8,3.5 ,2.4 , 5.5,3.9 ,2.7 , 6.2,3.5 ,2.6 , 5.1,28.3 ,22.4 , 37.0,39.5 ,32.3 , 49.6,36.2 ,28.4 , 47.6,53.9 ,44.1 , 67.5,54.8 ,45.8 , 66.6,66.6 ,52.3 , 87.6
Honduras,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,<0.1 ,<0.1 , <0.1,94.8 ,73.1 , 127.9,,,,48.1 ,37.2 , 64.8,38.3 ,29.7 , 51.3,41.8 ,32.2 , 56.3,41.0 ,32.1 , 54.2,37.0 ,28.9 , 49.0,61.0 ,47.9 , 80.3,59.1 ,46.4 , 77.8,63.2 ,44.2 , 97.6,56.3 ,44.3 , 74.1,74.6 ,52.2 , 115.3
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8 ,2.4 , 6.9,2.8 ,1.8 , 5.2,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,79.4 ,66.7 , 96.1,61.3 ,52.9 , 71.8,37.0 ,31.5 , 44.0,,,,<0.1 ,<0.1 , <0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , 0.2,1.2 ,0.6 , 3.1,9.3 ,5.1 , 21.8,13.0 ,7.6 , 27.0,15.5 ,9.2 , 31.1,16.3 ,9.8 , 32.3,27.5 ,16.5 , 54.5,32.3 ,19.5 , 63.8,36.3 ,21.9 , 71.5,44.8 ,31.4 , 69.3,33.4 ,23.9 , 50.2
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 ,0.3 , 1.0,0.7 ,0.4 , 1.6,2.2 ,1.2 , 4.6,2.3 ,1.3 , 4.8,2.4 ,1.4 , 5.2,1.3 ,0.8 , 2.8,1.6 ,1.0 , 3.5,2.7 ,1.6 , 5.9,5.4 ,3.5 , 9.7
Iran (Islamic Republic of),,,,,,,,,,3.8 ,2.1 , 9.5,,,,,,,2.0 ,1.2 , 4.4,16.2 ,9.2 , 35.4,13.3 ,7.6 , 28.7,20.9 ,12.1 , 44.5,30.6 ,17.7 , 65.8,43.6 ,24.9 , 95.6,56.3 ,31.4 , 128.4,44.0 ,24.1 , 104.6,45.3 ,24.4 , 112.0,40.5 ,28.4 , 62.7,43.0 ,30.1 , 66.5,78.6 ,55.0 , 121.4
Iraq,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,27.1 ,23.3 , 32.0,26.8 ,23.0 , 31.6,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1 ,5.3 , 14.3,22.9 ,14.7 , 40.6,49.8 ,31.9 , 88.5,12.1 ,7.8 , 21.3,12.8 ,8.3 , 22.3,11.6 ,8.1 , 17.8
Israel,,,,,,,,,,,,,,,,,,,,,,,,,73.3 ,63.1 , 86.3,46.7 ,39.3 , 56.3,,,,,,,,,,,,,,,,,,,77.3 ,54.1 , 119.4,72.5 ,50.7 , 112.0
Jamaica,,,,,,,,,,5.3 ,4.1 , 7.0,8.3 ,6.5 , 10.9,44.7 ,35.0 , 59.2,56.2 ,44.0 , 74.3,37.1 ,29.1 , 48.8,52.3 ,41.1 , 68.7,74.4 ,57.2 , 100.7,84.8 ,66.5 , 111.8,50.1 ,39.4 , 65.8,,,,69.3 ,54.6 , 90.8,72.6 ,57.1 , 95.5,38.5 ,30.2 , 50.9,45.2 ,34.8 , 61.3,29.0 ,22.8 , 38.0
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7 , Nil,,,,,,,,,,,,,82.5 ,57.7 , Nil,,,
Kazakhstan,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,6.1 ,4.3 , 9.4,25.4 ,17.7 , 39.6,27.9 ,18.9 , 45.4,30.5 ,21.1 , 47.9,12.8 ,8.3 , 22.1,8.0 ,5.6 , 12.4,6.8 ,4.7 , 10.4,60.0 ,42.0 , 92.8,56.2 ,39.3 , 86.9,72.0 ,50.4 , 111.3,50.5 ,35.3 , 78.0,83.0 ,58.1 , 128.2,79.1 ,55.4 , 122.2
Kenya,,,,,,,,,,,,,,,,1.3 ,0.9 , 2.2,12.6 ,8.4 , 20.9,14.4 ,9.7 , 23.7,12.4 ,8.3 , 20.3,14.4 ,9.7 , 23.5,21.3 ,14.2 , 35.3,28.8 ,19.4 , 47.3,40.6 ,27.4 , 66.6,37.4 ,25.1 , 61.3,38.0 ,25.6 , 62.4,41.7 ,28.0 , 68.4,41.2 ,27.7 , 67.8,49.1 ,32.8 , 81.3
Kiribati,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,,,,45.9 ,35.4 , 62.0,38.3 ,29.5 , 51.7,<0.1 ,<0.1 , <0.1,,,
Kuwait,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,87.1 ,75.2 , 102.0,87.0 ,71.0 , 109.0,87.0 ,63.1 , 127.6,87.0 ,57.7 , 145.8,,,,19.0 ,16.2 , 22.6,<0.1 ,<0.1 , <0.1,20.2 ,17.4 , 23.8,87.0 ,60.9 , 134.4,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1
Kyrgyzstan,,,,,,,,,,,,,,,,2.2 ,1.6 , 3.5,,,,,,,,,,16.8 ,13.0 , 22.7,46.0 ,35.3 , 62.4,73.8 ,59.2 , 94.5,69.2 ,56.5 , 86.8,54.3 ,47.8 , 62.2,44.9 ,36.1 , 57.5,71.3 ,59.9 , 86.3,50.6 ,44.5 , 58.0,51.6 ,42.9 , 63.0
Lao People's Democratic Republic,,,,,,,,,,0.9 ,0.6 , 1.4,,,,,,,5.2 ,3.5 , 8.3,3.8 ,2.6 , 6.1,8.3 ,5.7 , 13.4,,,,,,,,,,,,,15.6 ,10.6 , 25.1,21.1 ,14.5 , 33.7,,,,28.8 ,19.9 , 45.6,22.9 ,15.8 , 36.1
Latvia,,,,,,,,,,,,,,,,45.3 ,41.8 , 49.2,48.2 ,45.3 , 51.5,35.5 ,33.6 , 37.5,22.4 ,18.4 , 27.8,43.8 ,36.1 , 54.2,52.3 ,43.0 , 65.0,40.7 ,37.4 , 44.5,48.1 ,44.5 , 52.3,29.7 ,25.6 , 34.9,33.9 ,29.7 , 39.2,39.0 ,32.8 , 47.2,37.4 ,32.0 , 44.3,56.0 ,48.0 , 66.2
Lebanon,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,6.6 ,5.5 , 7.9,19.8 ,16.7 , 23.9,51.9 ,43.8 , 62.5,45.6 ,38.2 , 55.3,143.1 ,97.4 , 230.6,58.5 ,49.7 , 70.0,44.7 ,37.4 , 54.3,66.2 ,51.6 , 88.1,54.6 ,38.6 , 83.5,48.6 ,41.4 , 57.8,58.8 ,50.6 , 69.2
Lesotho,,,,,,,,,,,,,,,,,,,1.0 ,0.7 , 1.7,4.8 ,3.3 , 7.6,10.0 ,6.9 , 15.9,12.3 ,8.5 , 19.4,13.0 ,9.0 , 20.6,35.2 ,24.4 , 55.3,39.9 ,27.6 , 62.8,45.9 ,31.7 , 72.1,36.8 ,25.4 , 57.9,33.6 ,23.2 , 53.1,36.7 ,25.3 , 57.9,41.0 ,28.4 , 64.6
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,15.1 ,10.4 , 23.9,7.4 ,5.1 , 11.8,<0.1 ,<0.1 , <0.1,3.3 ,2.3 , 5.3,10.0 ,6.8 , 16.3,13.2 ,9.0 , 21.0,5.8 ,3.9 , 9.3,8.6 ,5.9 , 13.7,17.5 ,12.0 , 27.6,15.6 ,10.7 , 24.7
Libya,,,,,,,,,,,,,,,,,,,,,,57.0 ,49.8 , 65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,0.5 ,0.3 , 1.1,1.3 ,0.8 , 2.9,,,,1.7 ,1.0 , 3.6,5.4 ,3.1 , 11.6,7.8 ,4.5 , 16.9,6.8 ,3.9 , 14.9,7.0 ,4.0 , 15.5,4.5 ,2.6 , 10.1
Malawi,,,,,,,,,,0.1 ,<0.1 , 0.2,,,,11.4 ,7.6 , 18.8,11.7 ,7.8 , 19.2,19.1 ,12.8 , 31.3,15.5 ,10.2 , 26.5,17.0 ,11.3 , 28.5,15.4 ,9.5 , 29.0,18.5 ,11.9 , 32.5,32.2 ,20.5 , 58.0,36.9 ,22.7 , 70.3,39.8 ,24.5 , 75.7,44.8 ,31.4 , 69.3,54.4 ,38.1 , 84.0,65.0 ,45.5 , 100.4
Malaysia,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,3.0 ,2.5 , 3.7,32.7 ,28.1 , 38.5,7.5 ,6.4 , 8.8,17.8 ,15.3 , 20.9,43.6 ,37.4 , 51.3,23.9 ,20.7 , 28.0,23.1 ,19.8 , 27.3,26.8 ,23.0 , 31.6,35.8 ,30.9 , 42.0,25.8 ,22.1 , 30.4,52.9 ,45.4 , 62.4
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.1 , Nil,,,,,,,,,,,70.0 , Nil,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,1.2 ,0.6 , 2.9,4.1 ,2.2 , 10.0,14.7 ,9.9 , 24.2,24.1 ,15.8 , 41.6,57.6 ,40.0 , 90.0,41.0 ,25.7 , 75.4,44.7 ,29.5 , 75.9,46.4 ,31.7 , 74.5,32.6 ,22.8 , 50.6,37.4 ,26.1 , 58.2
Malta,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,33.8 ,28.6 , 40.4,46.0 ,37.7 , 57.3,80.5 ,64.0 , 104.3,,,,,,,,,,,,,,,,,,,100.0 ,70.0 , 154.5,53.0 ,45.8 , 62.1,<0.1 ,<0.1 , <0.1
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0 , Nil,,,,,,
Mauritania,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,11.4 ,6.6 , 24.2,11.9 ,6.9 , 25.5,,,,14.7 ,8.4 , 32.3,3.5 ,2.0 , 7.7,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,,,,,,
Mauritius,,,,,,,,,,39.8 ,27.0 , 64.5,30.4 ,21.1 , 47.5,11.2 ,7.8 , 17.5,33.3 ,22.8 , 53.3,36.5 ,25.0 , 58.1,23.6 ,16.1 , 38.0,24.4 ,16.9 , 38.3,29.1 ,20.2 , 45.7,23.5 ,16.2 , 37.0,35.5 ,24.6 , 55.5,76.9 ,52.3 , 123.9,43.7 ,30.2 , 68.8,38.7 ,26.8 , 60.5,35.6 ,24.5 , 56.3,77.3 ,54.1 , 119.4
Mexico,,,,,,,,,,35.4 ,25.4 , 52.6,,,,,,,,,,13.1 ,9.4 , 19.4,19.3 ,13.9 , 28.7,18.8 ,13.5 , 28.0,30.4 ,22.3 , 44.1,21.9 ,16.2 , 31.4,12.1 ,9.5 , 16.0,28.6 ,22.3 , 37.9,36.4 ,28.6 , 47.9,80.1 ,56.1 , 123.8,67.5 ,53.1 , 88.9,66.7 ,52.4 , 87.8
Mongolia,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,11.1 ,8.3 , 15.7,10.1 ,7.5 , 14.3,11.0 ,8.2 , 15.5,17.9 ,13.8 , 24.1,<0.1 ,<0.1 , <0.1,63.1 ,49.7 , 82.9,78.9 ,61.6 , 104.6,51.9 ,40.6 , 68.7,11.9 ,9.3 , 15.7,58.4 ,45.4 , 78.1,50.4 ,39.6 , 66.4,49.5 ,38.6 , 65.8,27.9 ,16.8 , 55.6
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0 , Nil,,,,<0.1 ,<0.1 , <0.1
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,11.8 ,7.2 , 22.7,4.1 ,2.5 , 8.0,6.5 ,4.0 , 12.7,82.6 ,50.2 , 160.9,17.8 ,10.8 , 34.9,77.8 ,47.1 , 152.7,71.5 ,50.1 , 110.5,38.9 ,27.3 , 60.2,33.1 ,23.2 , 51.1
Mozambique,,,,,,,,,,,,,,,,,,,5.1 ,3.5 , 8.1,7.2 ,4.9 , 11.5,8.1 ,5.6 , 13.0,7.0 ,4.8 , 11.2,7.6 ,5.2 , 12.0,9.3 ,6.3 , 14.8,18.7 ,12.9 , 29.8,25.9 ,17.8 , 41.0,30.3 ,20.8 , 48.0,36.1 ,24.8 , 57.3,40.4 ,27.9 , 63.6,48.4 ,33.6 , 76.0
Myanmar,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , 0.1,1.9 ,1.0 , 4.3,3.1 ,1.8 , 6.7,3.0 ,1.8 , 6.0,4.5 ,3.0 , 7.4,3.1 ,2.3 , 4.4,3.1 ,2.1 , 4.9,15.1 ,8.2 , 36.6,13.8 ,10.0 , 20.1,17.9 ,13.4 , 25.0,35.1 ,26.7 , 48.2,38.4 ,29.2 , 52.8
Namibia,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,,,,7.4 ,5.7 , 9.9,20.3 ,15.1 , 28.6,23.0 ,17.3 , 31.9,29.6 ,23.4 , 38.7,39.2 ,30.8 , 51.6,57.4 ,45.1 , 75.6,64.8 ,51.0 , 85.2,69.3 ,54.5 , 91.2,71.8 ,50.3 , 111.0,75.9 ,53.1 , 117.2,77.8 ,54.5 , 120.3
Nepal,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,<0.1 ,<0.1 , <0.1,4.3 ,2.7 , 7.7,11.1 ,7.1 , 20.2,5.5 ,3.5 , 10.1,24.4 ,15.5 , 44.4,13.0 ,8.2 , 23.6,23.8 ,15.1 , 43.3,24.2 ,15.3 , 44.0
Netherlands,,,,,,,,,,,,,,,,,,,,,,182.4 ,104.4 , 397.4,218.0 ,137.1 , 399.7,,,,,,,,,,,,,,,,,,,,,,38.1 ,32.3 , 45.8,36.4 ,30.7 , 43.7
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7 ,46.2 , 63.1,,,,,,
Nicaragua,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,23.0 ,17.8 , 30.9,25.2 ,19.6 , 33.8,31.4 ,24.3 , 42.1,30.7 ,23.8 , 41.2,75.8 ,59.0 , 101.1,49.6 ,38.8 , 65.7,48.4 ,38.0 , 63.8,74.2 ,52.0 , 114.7,72.4 ,56.9 , 95.3,59.3 ,41.5 , 91.6
Niger,,,,,,,,,,,,,,,,2.4 ,1.6 , 4.0,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,0.9 ,0.6 , 1.3,4.1 ,2.8 , 6.5,19.0 ,13.0 , 30.2,8.9 ,6.1 , 14.1,27.0 ,18.6 , 42.6,39.6 ,27.3 , 62.6,54.1 ,37.3 , 85.3
