Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,2,5,6,11,16,26,37,56,61,60
Albania,...,...,...,...,...,...,...,...,...,...
Algeria,106,200,262,437,511,582,643,698,773,892
Angola,1463,1777,2304,2722,3272,4222,3172,3837,4846,5113
Antigua and Barbuda,,,,,,0,0,0,0,
Argentina,2310,2225,2075,1939,1814,2015,1889,1766,1653,1800
Armenia,...,...,...,...,...,...,...,...,...,...
Australia,11,11,10,10,10,12,13,13,14,15
Austria,...,...,...,...,...,...,...,...,...,...
Azerbaijan,11,17,29,43,64,75,82,93,105,113
Bahamas,...,...,...,...,...,49,...,37,39,...
Bahrain,...,...,...,...,...,...,...,1,...,...
Bangladesh,...,...,...,...,...,90,112,118,129,...
Barbados,...,...,...,...,...,...,...,...,...,...
Belarus,121,139,154,173,189,218,238,215,215,196
Belgium,...,...,...,...,...,...,...,...,...,...
Belize,...,...,...,...,...,69,63,59,59,...
Benin,1296,1606,1872,1374,1609,1845,2010,1821,2024,2280
Bhutan,...,...,...,...,...,...,...,...,...,...
Bolivia (Plurinational State of),61,59,86,104,112,173,200,220,248,281
Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...
Botswana,7288,8199,9110,9553,8578,8490,7441,6122,5433,4158
Brazil,...,...,...,...,...,...,...,...,...,...
Brunei Darussalam,...,...,...,...,...,...,...,...,...,...
Bulgaria,...,...,...,...,...,...,...,...,...,...
Burkina Faso,1399,1776,1738,1850,2213,1668,2504,2570,2097,2815
Burundi,1826,1927,2023,2189,2440,2654,3050,3345,3365,3622
Cabo Verde,...,...,...,...,...,...,...,...,...,...
Cambodia,4102,4439,4595,4052,3987,4003,3626,3408,2983,2548
Cameroon,3994,4440,4992,5631,6099,7096,8486,9832,10 279,10 384
Canada,...,...,...,...,...,...,...,...,...,...
Central African Republic,825,702,818,922,1563,2403,1623,2210,2514,3156
Chad,1087,1531,1512,1517,1522,1532,1542,2082,2587,3098
Chile,206,199,173,168,171,144,162,146,136,152
China,...,...,...,...,...,...,...,...,...,...
Colombia,...,...,...,...,...,...,...,...,...,...
Comoros,...,...,...,...,...,...,...,...,...,...
Congo,972,1051,1148,1170,1452,1442,1497,1663,1973,1406
Costa Rica,62,63,63,64,63,65,67,68,84,92
Croatia,...,...,...,...,...,...,...,...,...,...
Cuba,22,23,24,27,28,28,28,29,27,33
Cyprus,...,...,...,...,...,...,...,...,...,...
Czechia,...,...,...,...,...,...,...,...,...,...
C̫te d'Ivoire,4301,5086,5578,6779,6932,7689,9154,14 937,12 347,11 330
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,2193,6077,4972,4955,8523,10 392,14 333,17 465,15 970,18 982
Denmark,...,...,...,...,...,...,...,...,...,...
Djibouti,41,40,40,46,52,74,78,82,82,89
Dominica,,,,,,0,,0,0,0
Dominican Republic,950,1022,1083,1000,896,809,777,783,784,626
Ecuador,403,312,316,354,388,449,517,560,541,579
Egypt,32,40,42,53,65,73,95,143,178,257
El Salvador,338,390,335,308,344,273,222,179,147,121
Equatorial Guinea,40,86,160,194,202,245,375,564,772,900
Eritrea,232,284,337,377,414,444,518,447,496,442
Estonia,...,...,...,...,...,...,...,...,...,...
Eswatini,5653,6567,7431,7934,7906,8668,9501,9860,8554,8562
Ethiopia,13 025,16 031,17 710,18 967,22 577,20 074,21 865,21 877,21 511,21 310
Fiji,...,...,...,...,...,...,...,...,...,...
Finland,...,...,...,...,...,...,...,...,...,...
France,154,162,174,186,210,231,236,238,239,239
Gabon,371,414,494,732,1091,1375,1438,1600,1853,637
Gambia,161,230,271,289,380,438,544,480,550,585
Georgia,...,...,...,...,...,...,...,...,...,...
Germany,...,...,...,...,...,...,...,...,...,...
Ghana,2387,2957,3504,3907,4581,3664,4356,5047,5878,6631
Greece,...,...,...,...,...,...,...,...,...,...
Grenada,,,,,,2,2,0,4,
Guatemala,661,935,1024,951,990,859,758,719,730,683
Guinea,857,857,1114,1789,1484,2781,1479,1851,2131,4945
Guinea-Bissau,181,260,369,428,395,470,605,677,347,500
Guyana,177,201,201,184,174,159,158,129,107,114
Haiti,1548,1917,2245,2629,2864,2865,3470,3773,3421,3736
Honduras,822,736,783,725,700,573,539,533,360,334
Hungary,...,...,...,...,...,...,...,...,...,...
Iceland,...,...,...,...,...,...,...,...,...,...
India,...,...,...,...,...,...,...,...,...,...
Indonesia,...,...,...,...,...,2708,3030,3487,3895,...
Iran (Islamic Republic of),62,98,129,164,231,302,376,456,514,565
Ireland,...,...,...,...,...,...,...,...,...,...
Israel,...,...,...,...,...,...,...,...,...,...
Italy,137,148,156,166,174,180,184,187,182,171
Jamaica,436,462,356,347,323,291,260,224,217,217
Japan,...,...,...,...,...,...,...,...,...,...
Jordan,...,...,...,...,...,...,...,0,0,...
Kazakhstan,211,244,293,328,361,379,415,445,432,401
Kenya,36 096,48 548,55 438,60 141,66 070,71 547,78 739,86 323,74 344,70 090
Kiribati,,,,,,,,2,2,2
Kuwait,...,...,...,...,...,...,...,...,...,...
Kyrgyzstan,144,172,220,299,366,389,418,443,447,426
Lao People's Democratic Republic,117,133,163,189,214,222,235,277,279,298
Latvia,...,...,...,...,...,...,...,...,...,...
Lebanon,...,...,...,...,...,...,...,...,...,...
Lesotho,4812,5028,5246,5201,5687,7466,9175,8629,8427,8292
Liberia,314,570,430,378,406,389,442,589,680,763
Libya,0,0,0,70,73,81,82,86,84,110
Lithuania,...,...,...,...,...,...,...,...,...,...
Luxembourg,...,...,...,...,...,...,...,...,...,...
Madagascar,18,13,14,17,29,16,41,55,91,151
Malawi,15 733,20 286,24 876,29 462,32 517,35 872,41 031,45 481,45 096,47 960
Malaysia,392,408,399,403,388,370,351,329,314,301
Maldives,...,...,...,...,...,...,...,...,...,...
Mali,1392,1732,1912,2001,2359,2665,2820,3030,3446,3783
Malta,...,...,...,...,...,...,...,...,...,...
Mauritania,26,0,0,99,126,157,162,163,175,165
Mauritius,8,10,10,12,22,24,37,44,44,51
Mexico,1495,1620,1781,1805,1815,1826,1785,1743,1671,1697
Micronesia (Federated States of),,,,,,,,0,,
Monaco,,,,,,,,,...,
Mongolia,...,...,...,...,...,...,...,...,...,...
Montenegro,...,...,...,...,...,...,...,...,...,...
Morocco,160,205,244,333,452,489,552,606,666,759
Mozambique,17 395,23 053,25 890,37 824,55 581,58 884,68 518,79 214,86 920,95 080
Myanmar,2111,2995,4031,4925,5683,6916,7298,7669,7887,7927
Namibia,8054,9113,10 029,9161,8892,8825,8135,7823,7598,10 169
Nepal,288,432,551,638,783,893,982,1291,1275,1306
Netherlands,139,151,165,166,167,165,165,159,154,154
New Zealand,...,...,...,...,...,...,...,...,...,...
Nicaragua,63,91,104,59,115,122,125,120,122,138
Niger,335,496,669,554,654,922,1003,1302,1330,1282
Nigeria,18 541,24 867,30 847,34 120,38 242,43 867,48 738,49 721,50 176,53 527
North Macedonia,...,...,...,...,...,...,...,...,...,...
Norway,...,...,...,...,...,...,...,...,...,...
Oman,...,...,...,...,...,...,...,...,...,...
Pakistan,57,51,85,108,133,263,334,445,614,1884
Panama,...,...,...,...,...,...,...,...,...,...
Papua New Guinea,482,573,735,887,1042,1170,1267,1337,1445,1544
Paraguay,106,167,181,197,187,175,187,186,172,168
Peru,539,540,577,730,798,888,728,765,825,898
Philippines,20,19,33,22,24,40,44,69,85,122
Poland,...,...,...,...,...,...,...,...,...,...
Portugal,...,...,...,...,...,...,...,...,...,...
Qatar,...,...,...,...,...,...,...,...,...,...
Republic of Korea,...,...,...,...,...,...,...,...,...,...
Republic of Moldova,41,52,63,82,98,106,122,130,126,131
Romania,185,189,207,215,222,243,196,196,172,188
Russian Federation,...,...,...,...,...,...,...,...,...,...
Rwanda,7541,7597,7975,8116,8136,8266,8685,8108,7532,6914
Saint Kitts and Nevis,,,,,,0,0,0,0,
Saint Lucia,,,,,,2,1,1,1,1
Saint Vincent and the Grenadines,,,,,,8,8,8,8,
Samoa,,,,,,,,2,2,2
Saudi Arabia,...,...,...,...,...,...,...,...,...,...
Senegal,48,50,52,53,643,1183,1214,1235,1374,1461
Serbia,...,...,...,...,...,...,...,...,...,...
Seychelles,,,,,,,,...,14,
Sierra Leone,426,535,459,493,486,730,785,983,1119,1165
Singapore,...,...,...,...,...,...,...,...,...,...
Slovakia,...,...,...,...,...,...,...,...,0,...
Slovenia,...,...,...,...,...,...,...,...,...,...
Solomon Islands,,,,,,,,,...,
Somalia,11,48,43,64,93,112,126,150,190,194
South Africa,104 021,132 903,148 422,165 380,175 125,181 843,183 649,182 206,178 154,157 330
South Sudan,87,138,164,286,543,728,939,1205,1461,1896
Spain,75,77,80,82,84,90,94,94,93,92
Sri Lanka,...,...,...,...,...,...,...,...,...,...
Sudan,232,140,170,250,390,394,475,569,620,673
Suriname,79,83,84,78,78,92,86,72,51,44
Sweden,...,...,...,...,...,...,...,...,...,...
Switzerland,...,...,...,...,...,...,...,...,...,...
Syrian Arab Republic,...,...,...,...,...,...,...,...,...,...
Tajikistan,22,59,126,249,374,479,575,662,752,885
Thailand,7039,6584,5915,5142,4502,3813,3476,2903,2622,2193
Timor-Leste,...,...,...,...,...,...,...,...,...,...
Togo,0,0,2098,2379,2861,3058,3310,3663,4194,4690
Trinidad and Tobago,216,179,158,146,113,131,112,111,108,64
Tunisia,20,19,12,21,18,20,20,21,30,42
Turkey,...,...,...,...,...,...,...,...,...,...
Turkmenistan,...,...,...,...,...,...,...,...,...,...
Uganda,21 763,24 735,35 453,43 525,54 680,60 029,63 936,65 134,67 131,66 203
Ukraine,2046,2268,2487,2700,2725,2621,2770,2930,2873,2762
United Arab Emirates,...,...,...,...,...,...,...,...,...,...
United Kingdom,...,...,...,...,...,...,...,...,...,...
United Republic of Tanzania,19 319,19 878,32 643,38 808,42 145,51 819,55 165,55 618,59 623,61 210
United States,...,...,...,...,...,...,...,...,...,...
Uruguay,...,...,...,...,...,116,86,87,78,...
Uzbekistan,928,1247,1697,2387,3145,3927,4575,5098,5536,5345
Venezuela (Bolivarian Republic of),1051,842,972,976,999,1309,1295,1184,982,1064
Viet Nam,2668,3261,3828,4204,4522,4915,4910,4809,4589,4461
Yemen,38,51,53,59,140,90,102,119,125,140
Zambia,24 180,28 218,33 698,39 137,44 221,51 903,49 836,46 465,49 142,50 282
Zimbabwe,32 882,39 993,46 874,46 319,55 061,60 993,66 159,68 119,52 430,59 825
Global,430 000,530 000,620 000,700 000,790 000,860 000,920 000,960 000,940 000,950 000