States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,47 ,38 , 58,57 ,46 , 69,59 ,47 , 71,67 ,54 , 81,76 ,60 , 92,79 ,63 , 95,77 ,61 , 93,82 ,65 , 100,85 ,66 , 100,93 ,73 , 100
Afar,16 ,12 , 21,19 ,14 , 25,19 ,15 , 25,22 ,17 , 29,25 ,19 , 32,30 ,23 , 39,39 ,29 , 49,40 ,30 , 51,41 ,31 , 52,45 ,34 , 56
Amhara,39 ,31 , 50,46 ,36 , 58,47 ,37 , 58,52 ,41 , 65,58 ,46 , 72,64 ,50 , 79,68 ,53 , 84,70 ,55 , 87,72 ,57 , 89,75 ,59 , 94
Beneshangul Gumuz,23 ,17 , 32,28 ,20 , 37,28 ,21 , 37,31 ,24 , 41,35 ,27 , 46,38 ,29 , 49,65 ,49 , 84,65 ,49 , 85,67 ,49 , 88,65 ,47 , 85
Dire Dawa,29 ,23 , 36,34 ,27 , 42,35 ,28 , 43,40 ,32 , 48,45 ,36 , 54,54 ,43 , 65,63 ,51 , 78,65 ,52 , 81,67 ,53 , 85,70 ,55 , 90
Gambella,7 ,5 , 9,9 ,7 , 11,9 ,7 , 12,11 ,8 , 14,13 ,10 , 16,19 ,15 , 25,33 ,26 , 42,44 ,34 , 57,46 ,36 , 59,55 ,43 , 71
Harari,56 ,46 , 64,65 ,53 , 75,65 ,53 , 75,72 ,59 , 84,79 ,64 , 94,100 ,80 , 100,86 ,68 , 100,95 ,75 , 100,98 ,76 , 100,95 ,74 , 100
Oromiya,28 ,20 , 38,33 ,24 , 44,34 ,25 , 45,38 ,28 , 51,43 ,32 , 57,49 ,37 , 64,57 ,43 , 76,59 ,45 , 78,61 ,46 , 80,67 ,51 , 88
SNNPR,28 ,21 , 36,33 ,25 , 42,34 ,26 , 43,38 ,30 , 48,43 ,34 , 54,48 ,37 , 60,46 ,36 , 58,51 ,39 , 64,53 ,41 , 67,65 ,51 , 82
Somali,16 ,11 , 24,19 ,13 , 29,20 ,14 , 30,23 ,16 , 35,27 ,18 , 40,30 ,20 , 45,36 ,25 , 55,30 ,20 , 44,31 ,21 , 46,34 ,23 , 52
Tigray,50 ,39 , 66,58 ,46 , 76,58 ,46 , 76,65 ,51 , 84,72 ,57 , 93,78 ,62 , 100,80 ,62 , 100,80 ,62 , 100,82 ,63 , 100,89 ,67 , 100
National,36 ,27,45,42 ,33,54,43 ,33,55,49 ,37,62,55 ,42,70,60 ,46,77,64 ,49,82,67 ,52,85,69 ,53,88,75 ,58,96