States,2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,... ,... , ...,... ,... , ...,85 ,68 , 100
Afar,29 ,22 , 37,33 ,25 , 42,36 ,27 , 45
Amhara,58 ,45 , 71,60 ,46 , 75,65 ,51 , 81
Beneshangul Gumuz,54 ,40 , 70,57 ,42 , 76,57 ,41 , 76
Dire Dawa,50 ,39 , 62,56 ,44 , 71,61 ,48 , 80
Gambella,... ,... , ...,38 ,29 , 49,48 ,36 , 61
Oromiya,... ,... , ...,58 ,43 , 78,65 ,49 , 88
SNNPR,43 ,34 , 55,... ,... , ...,58 ,44 , 74
Somali,25 ,17 , 37,27 ,18 , 40,30 ,20 , 46
Tigray,... ,... , ...,... ,... , ...,66 ,50 , 88
National,... ,...,...,60 ,46,77,66 ,51,85