States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,86 ,70 , 100,87 ,71 , 100,89 ,72 , 100,90 ,72 , 100,94 ,75 , 100
Afar,67 ,52 , 85,70 ,54 , 89,72 ,55 , 91,72 ,55 , 92,73 ,55 , 93
Amhara,73 ,57 , 89,76 ,59 , 92,79 ,61 , 96,80 ,63 , 99,82 ,64 , 100
Beneshangul Gumuz,71 ,54 , 93,74 ,56 , 96,76 ,58 , 99,78 ,58 , 100,80 ,59 , 100
Dire Dawa,81 ,64 , 100,82 ,65 , 100,83 ,65 , 100,82 ,65 , 100,82 ,64 , 100
Gambella,73 ,56 , 94,78 ,60 , 100,81 ,63 , 100,82 ,63 , 100,83 ,62 , 100
Harari,80 ,62 , 98,83 ,64 , 100,87 ,67 , 100,90 ,68 , 100,90 ,68 , 100
Oromiya,74 ,56 , 98,81 ,61 , 100,83 ,63 , 100,85 ,65 , 100,88 ,67 , 100
SNNPR,68 ,52 , 87,72 ,55 , 90,75 ,58 , 94,77 ,60 , 97,79 ,61 , 99
Somali,49 ,33 , 72,53 ,36 , 78,56 ,38 , 83,57 ,39 , 85,58 ,40 , 87
Tigray,80 ,63 , 100,82 ,63 , 100,83 ,64 , 100,84 ,65 , 100,86 ,66 , 100
National,76 ,59,96,79 ,61,100,81 ,63,100,83 ,64,100,85 ,66,100