States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Addis Ababa,1228,1815,2756,3023,2 733.5,3366,2658,2435,2802,2307
Afar,126,186,69,156,323.5,393,377,226,323,524
Amhara,1947,2878,4563,5365,4 840.5,5062,4943,4274,5672,4490
Beneshangul Gumuz,84,123,165,150,203,196.5,193,163,154,146
Dire Dawa,132,194,293,254,266,249,182,195,150,145
Gambella,152,226,272,168,170,407,360,397,325,354
Harari,66,99,92,110,104,132,122,124,125,93
Oromiya,1709,2528,3326,4584,5232,4753,4279,4162,4949,3821
SNNPR,777,1150,1 567.5,2 109.5,1 439.75,1978,1629,1258,1464,616
Somali,12,17,31,61,52,186,105,131,52,58
Tigray,600,886,2540,1988,2443,2249,1770,1679,1800,1595
National,6833,10 102,15 674.5,17 968.5,17 807.25,18 971.5,16 618,15 044,17 816,14 149